## Site Characteristics
Country     = 'Netherlands'
Station     = 'Wageningen, Haarweg'
Description = 'Observed data from Station Haarweg in Wageningen'
Source      = 'Meteorology and Air Quality Group, Wageningen University'
Contact     = 'Peter Uithol'
Longitude = 5.67; Latitude = 51.97; Elevation = 7; AngstromA = 0.18; AngstromB = 0.55; HasSunshine = False
## Daily weather observations
DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
20070410,8899,6.7,15.5,1.17,2.5,0,NaN
20070411,11318,6.2,16.3,1.1,1.5,0,NaN
20070412,19008,3.5,20.5,1.03,2.4,0,NaN
20070413,16070,9.4,23.7,1.23,2.2,0,NaN
20070414,19699,6.7,26.5,1.16,1.9,0,NaN
20070415,21082,8.5,27.3,1.09,1.8,0,NaN
20070416,20131,6.4,26.9,1.17,1.5,0,NaN
20070417,15898,4.4,14.2,1.01,2.1,0,NaN
20070418,14688,2,14.3,0.8,1.3,0,NaN
20070419,21427,0.7,16.8,0.87,2.9,0,NaN
20070420,19440,3.3,12.4,0.67,1.7,0,NaN
20070421,21082,-1.8,14.7,0.61,1.9,0,NaN
20070422,22291,0.4,20.1,0.77,1.4,0,NaN
20070423,17107,7,22.9,0.99,1.8,0,NaN
20070424,13738,10.3,22.2,1.38,1.3,0,NaN
20070425,17971,13.5,28.1,1.4,2.1,0,NaN
20070426,20822,9.4,27.7,1.459,1.6,0,NaN
20070427,21946,6.7,26.6,1.03,2.1,0,NaN
20070428,22291,8,26.8,1.14,1.8,0,NaN
20070429,24106,11.3,21.6,0.93,4,0,NaN
20070430,25229,6.6,19.4,0.63,4.3,0,NaN
20070501,24710,8.2,21.4,0.8,3.5,0,NaN
20070502,25142,7.5,21.2,0.7,3,0,NaN
20070503,22550,3.9,21.2,0.92,2,0,NaN
20070504,20736,6,23.1,0.92,2.5,0,NaN
20070505,23933,7.7,20.9,1.09,2.7,0,NaN
20070506,15984,1.9,17.6,1.07,3.2,0.1,NaN
20070507,2246,10.9,14.1,1.45,4.3,27.7,NaN
20070508,13738,9.3,15.9,1.21,5.1,12.3,NaN
20070509,11405,9.7,16.2,1.29,3.6,4.5,NaN
20070510,11318,10.8,16.9,1.33,5,9.9,NaN
20070511,8726,10.1,15,1.29,4.5,8.2,NaN
20070512,12528,10.9,17.3,1.3,4.6,6.7,NaN
20070513,12010,11.5,18.7,1.48,2.9,0.8,NaN
20070514,9850,9.8,17.3,1.33,3.3,7.2,NaN
20070515,21341,8.1,16.2,1.06,2.4,0.8,NaN
20070516,14256,8.3,16.4,1.18,2.9,20.7,NaN
20070517,14947,5.4,15.5,1.02,1.4,1.4,NaN
20070518,20822,5.2,22.6,1.58,2.9,0,NaN
20070519,22723,6.5,18.4,1.19,3.1,0.8,NaN
20070520,16070,4.3,19.8,1.29,1.6,5.7,NaN
20070521,6739,12.8,19.4,1.8,1,0,NaN
20070522,9245,6.6,19.1,1.61,1.2,0,NaN
20070523,27216,5,22,1.14,1.3,0,NaN
20070524,26784,8.5,24.9,1.33,1.2,0,NaN
20070525,20390,12.6,25.4,1.62,1.3,0,NaN
20070526,16762,12.5,18.4,1.39,2.1,2.7,NaN
20070527,10454,11.1,18.9,1.431,1.9,5.5,NaN
20070528,7949,10.4,15.3,1.39,1.4,2.7,NaN
20070529,8554,6.4,13,1.16,3.8,0.3,NaN
20070530,25142,6.3,19.9,0.98,2.9,0,NaN
20070531,17107,9.6,20.9,1.44,2,3.3,NaN
20070601,24797,8.6,24.4,1.23,1.6,0,NaN
20070602,21600,9.3,24.1,1.31,1.6,0,NaN
20070603,15034,11.2,22.4,1.64,1.6,0,NaN
20070604,21859,10.6,23.4,1.45,1.8,0,NaN
20070605,21773,14.8,24.1,1.6,2.1,0,NaN
20070606,20563,13.5,23.8,1.67,1.9,0,NaN
20070607,20909,14.3,27.8,1.89,1.9,0,NaN
20070608,22550,16.8,31.1,2.04,2.4,12.1,NaN
20070609,10800,15.3,22.4,2,1.9,4.3,NaN
20070610,11837,15.5,23.6,1.979,1.4,18.7,NaN
20070611,16502,16.2,26.8,2.09,1.3,0,NaN
20070612,5443,14.5,18.6,1.78,2.4,0,NaN
20070613,18058,13.3,22.1,1.79,2.3,0,NaN
20070614,16848,12.9,26.2,1.891,1.9,17.5,NaN
20070615,11923,15.8,21.7,1.86,2.6,0.2,NaN
20070616,15725,14,20.5,1.62,3.1,1.3,NaN
20070617,17280,13.8,20.9,1.58,3,1.1,NaN
20070618,10973,13,21,1.76,1.6,10,NaN
20070619,28080,9.9,25.3,1.51,1.7,0,NaN
20070620,20563,13.1,23.3,1.81,2.3,0.7,NaN
20070621,5357,13.7,19.5,1.69,1.3,3.8,NaN
20070622,17366,13.7,21.3,1.61,2.2,3.8,NaN
20070623,13392,13.4,19.2,1.68,2.8,9.3,NaN
20070624,14602,12.4,19.3,1.62,2.5,2.7,NaN
20070625,12614,11.9,20.7,1.62,2.4,4,NaN
20070626,12182,8.9,15.5,1.31,4.5,4.6,NaN
20070627,19613,8.4,17.4,1.15,4.2,0.4,NaN
20070628,25747,12.1,18.5,1.17,3.4,1.2,NaN
20070629,6221,12.5,16.9,1.56,4.2,8.8,NaN
20070630,11578,14.6,19.4,1.64,2.9,0.1,NaN
20070701,19526,16.7,24.3,1.9,2.5,0.9,NaN
20070702,15725,14.8,20.7,1.74,3.2,9,NaN
20070703,9850,13.5,18.5,1.59,3.4,2,NaN
20070704,8986,11.6,17,1.55,3.1,16.8,NaN
20070705,18144,11.8,19.8,1.55,3.7,23.8,NaN
20070706,4579,13.1,16.5,1.51,6.1,5.8,NaN
20070707,19786,11.7,20.6,1.51,4.1,1.1,NaN
20070708,22032,10.8,22.3,1.35,1.4,0.7,NaN
20070709,20390,11,20.3,1.36,1.5,0.4,NaN
20070710,16762,9.7,18.6,1.407,2.1,5.1,NaN
20070711,10109,10.6,17.5,1.501,3.2,0.7,NaN
20070712,10022,12.5,19.6,1.652,3.3,1.4,NaN
20070713,14861,16.3,25.1,2.064,2.9,0.1,NaN
20070714,19958,14.5,25.2,2.02,3.3,0,NaN
20070715,16330,14.4,29.8,2.23,1.6,0,NaN
20070716,17885,16.9,28.6,2.228,1.9,0.8,NaN
20070717,22032,13.8,23.4,1.644,3.4,2.1,NaN
20070718,20131,12.6,22.9,1.6,1.9,2.2,NaN
20070719,21168,10,25,1.455,1.2,0,NaN
20070720,8467,14.8,22.5,1.862,2.6,11.8,NaN
20070721,24451,12,23.2,1.453,2.4,14.9,NaN
20070722,15120,10.7,20,1.568,2.1,4.2,NaN
20070723,8640,10.2,20.9,1.608,2.7,6.7,NaN
20070724,15120,13.4,19.8,1.547,4.2,4.2,NaN
20070725,21686,13,22.2,1.599,2.9,0,NaN
20070726,10368,15.4,21.4,1.817,3.5,9.1,NaN
20070727,19094,14.3,21.5,1.584,4.7,0.2,NaN
20070728,19008,14.3,20.8,1.601,2.9,13.9,NaN
20070729,10627,9.4,18.8,1.447,2.2,19.1,NaN
20070730,20563,9,17.8,1.172,3.1,2.3,NaN
20070731,20736,9.1,18.8,1.216,1.7,0,NaN
20070801,24278,8.3,22.9,1.254,1.5,0,NaN
20070802,8381,10,21.3,1.525,1.1,0,NaN
20070803,19526,10.1,22.6,1.407,1.4,0,NaN
20070804,25315,12,26,1.556,1.9,0,NaN
20070805,25747,14.1,29.3,1.568,3.2,0,NaN
20070806,19440,16.7,27.9,1.888,2.8,0.4,NaN
20070807,10368,15.4,22,1.764,1.3,0.4,NaN
20070808,12614,10.7,19.7,1.477,1.5,0,NaN
20070809,1987,14,17.4,1.694,2.2,7.6,NaN
20070810,9936,11.7,20.3,1.807,1.9,0,NaN
20070811,22550,9.8,21.2,1.368,1.1,0,NaN
20070812,19872,7.8,23.4,1.549,1.5,7,NaN
20070813,17626,13.5,21.5,1.603,2.5,0,NaN
20070814,17885,13.6,24.8,1.613,3.5,2.3,NaN
20070815,13910,17.7,25,1.998,4.4,5.6,NaN
20070816,14947,11.4,19,1.531,4.2,6.6,NaN
20070817,10800,11.6,17.5,1.425,2.4,8.8,NaN
20070818,18403,10.8,20.5,1.411,2.2,0,NaN
20070819,14947,14.5,23.3,1.625,2.3,0,NaN
20070820,9072,13.5,20.3,1.725,2,5.7,NaN
20070821,10973,13.2,21.3,1.82,1.6,6.9,NaN
20070822,9072,15.2,20.5,1.76,3.7,0.9,NaN
20070823,10973,13.9,23.7,1.796,1.6,3.9,NaN
20070824,19958,10.8,25.6,1.79,1,0.3,NaN
20070825,17107,13.8,23.5,1.78,1.7,0,NaN
20070826,12614,10,22.6,1.61,1.5,0,NaN
20070827,13392,7.4,19.2,1.23,1.2,0,NaN
20070828,16157,8.3,18.5,1.05,1.1,0,NaN
20070829,17712,7.2,18.8,1,1.2,0,NaN
20070830,9590,6.8,19,1.45,2.9,0.1,NaN
20070831,7344,14.7,19.3,1.68,3.1,1.1,NaN
20070901,9418,11.6,20.2,1.66,2,1.2,NaN
20070902,11232,13.6,21.1,1.68,3.7,3.3,NaN
20070903,16416,6.8,18.1,1.34,1.9,16.9,NaN
20070904,17366,6.3,16.7,1.04,2,0.3,NaN
20070905,5184,5.8,14.3,1.325,1.3,0.9,NaN
20070906,10195,13.2,20.7,1.694,1.7,0,NaN
20070907,9158,10.8,20,1.585,1.4,0.5,NaN
20070908,6826,11.2,18.9,1.653,1.8,0,NaN
20070909,8640,10.4,18.5,1.39,1.5,0,NaN
20070910,6307,11.6,17,1.471,3.5,5.2,NaN
20070911,11923,9.1,17.9,1.4,1.9,0,NaN
20070912,9590,7.3,18.1,1.36,0.8,0,NaN
20070913,8467,6.3,18,1.24,1,0,NaN
20070914,10454,4.7,19.7,1.32,2.2,0,NaN
20070915,16416,5.5,18.1,1.12,1.1,0,NaN
20070916,13910,9.3,21.2,1.43,2.9,0,NaN
20070917,2678,11.1,15.7,1.55,2,5.6,NaN
20070918,11491,6.9,14.8,1.1,2.1,5.2,NaN
20070919,11491,5.7,16.1,1.1,3.6,0.1,NaN
20070920,5616,12.1,17.3,1.46,4.3,1.7,NaN
20070921,7862,11.2,20.4,1.48,2.8,0,NaN
20070922,7430,8.2,19.9,1.51,1,0,NaN
20070923,12787,7.4,22.5,1.58,1.5,0,NaN
20070924,5875,10.5,19,1.51,3.3,2.6,NaN
20070925,9331,8.5,16.4,1.23,2.8,2.5,NaN
20070926,8899,5,14.1,1.15,1.4,0.4,NaN
20070927,9418,4.9,16.5,1.16,2.4,3.4,NaN
20070928,6739,11.5,16.9,1.46,2,6.4,NaN
20070929,2074,11.6,13.6,1.42,2.8,3,NaN
20070930,4925,7,15.8,1.33,2.2,0.2,NaN
20071001,2506,5.5,12.7,1.24,1.8,1.6,NaN
20071002,3110,11.2,13.7,1.38,1.9,0,NaN
20071003,1555,12.1,15.9,1.58,1.6,7.8,NaN
20071004,6048,6.4,17.3,1.46,1.7,0,NaN
20071005,9158,3.4,17.5,1.18,0.8,0,NaN
20071006,12960,3.6,17.3,1.13,2,0,NaN
20071007,12010,2.6,19.3,1.05,0.8,0,NaN
20071008,7344,3.9,16.4,1.18,0.7,0,NaN
20071009,3024,9.6,14,1.33,1.5,0,NaN
20071010,6998,9.1,17.2,1.31,1.4,0,NaN
20071011,8986,4.8,15.3,1.19,1.1,0,NaN
20071012,5962,10,18.2,1.42,1.8,0,NaN
20071013,9850,4.1,16.5,1.16,1.1,0,NaN
20071014,11146,7,17.6,1.08,2,0,NaN
20071015,9072,7.2,18.7,1.3,2.2,0,NaN
20071016,7776,10.6,16.8,1.36,2.6,0,NaN
20071017,2160,6.5,14.1,1.3,2.7,2.8,NaN
20071018,7603,4.7,12.8,0.97,1.8,0.6,NaN
20071019,5875,3.7,12.1,0.93,1,0,NaN
20071020,9504,-1.6,12.9,0.69,0.6,0,NaN
20071021,3283,5,12.7,1.04,1.3,0.4,NaN
20071022,9504,1.9,9.8,0.78,2.5,0,NaN
20071023,9504,-0.9,9.3,0.68,2.5,0,NaN
20071024,3629,3,10.6,0.91,3.1,0,NaN
20071025,1987,6.9,9.9,1,2.7,0,NaN
20071026,2938,7.4,10.4,0.96,1.8,0,NaN
20071027,1901,7.3,10,1.03,1.8,0,NaN
20071028,4234,8.2,11.8,1.07,4,2.5,NaN
20071029,864,8,10,1.14,1.9,6.4,NaN
20071030,5962,2.2,12.6,0.96,1.1,0,NaN
20071031,4234,3.1,12.8,1.05,1.9,0,NaN
20071101,1642,10.7,13.9,1.35,2.3,0,NaN
20071102,1469,11.7,14.8,1.49,1.8,2,NaN
20071103,1728,7,13.6,1.36,1.6,0.1,NaN
20071104,2506,6.2,11.9,1.1,0.7,0,NaN
20071105,1728,7.5,11.6,1.12,2.7,3.9,NaN
20071106,5270,4.6,10.8,0.93,3.1,0.1,NaN
20071107,1123,7.3,12.3,1.14,4.4,1.1,NaN
20071108,2506,5.7,12,1.11,3.8,10.1,NaN
20071109,4925,3,8,0.8,4.2,5.1,NaN
20071110,3974,5.2,10.4,1.02,3.5,34.2,NaN
20071111,3370,2.9,11.1,0.99,4.7,10.2,NaN
20071112,4666,2.3,9.9,0.76,2.8,0.1,NaN
20071113,950,2.4,5.4,0.8,2.9,3.1,NaN
20071114,4493,-0.5,5.8,0.68,1.3,0,NaN
20071115,5616,-3.6,5.9,0.6,1,0,NaN
20071116,2765,-1.2,6.3,0.75,1.3,0,NaN
20071117,4493,0.5,8.8,0.72,1.5,0,NaN
20071118,4493,-0.7,7.2,0.71,3.1,0,NaN
20071119,1728,2.3,5.6,0.75,3.5,0,NaN
20071120,2851,4.4,10.5,0.87,3.6,1,NaN
20071121,691,5.8,11.2,1,2.9,0.2,NaN
20071122,4579,4.6,12.8,1,2.3,0,NaN
20071123,1814,0.8,7.6,0.82,1.7,1.2,NaN
20071124,2938,-1.9,7.6,0.74,2.7,0.8,NaN
20071125,2592,2.9,8.6,0.88,3.8,6.2,NaN
20071126,2678,1.8,7.4,0.73,2.2,0.3,NaN
20071127,2678,1.4,7.1,0.8,1.2,0,NaN
20071128,1037,4.2,6.8,0.81,3.2,0.1,NaN
20071129,518,3.1,7.2,0.88,4.1,3.2,NaN
20071130,605,2.6,9.1,0.97,4.2,7.7,NaN
20071201,4061,7,10.3,1.01,6.4,6.5,NaN
20071202,432,6.4,11.4,1.06,6.9,17.1,NaN
20071203,2419,3.5,8.4,0.9,4.7,5.4,NaN
20071204,1469,2.7,10.5,0.95,3.2,0.5,NaN
20071205,950,9.9,12.7,1.25,5.8,1.3,NaN
20071206,518,7.5,12.9,1.204,5.3,17.9,NaN
20071207,1987,6.5,14,1.08,7.5,10.3,NaN
20071208,2074,3.7,7.7,0.883,5.1,11.5,NaN
20071209,3283,6.4,9.1,0.975,4.5,6,NaN
20071210,1814,3.2,7.8,0.914,2.2,0.8,NaN
20071211,2678,-0.2,6.9,0.779,2,0.1,NaN
20071212,864,-0.7,4.8,0.74,0.7,0.1,NaN
20071213,1123,-3.7,3.4,0.64,1,0,NaN
20071214,1728,-4.8,2.3,0.59,1.3,0,NaN
20071215,2592,-1,4.4,0.61,2.3,0,NaN
20071216,3542,-3.1,3,0.51,2.2,0,NaN
20071217,1382,-2.1,1.2,0.54,3.5,0,NaN
20071218,2419,-2.9,0.8,0.54,2.6,0,NaN
20071219,3197,-4.1,0.6,0.49,1.6,0,NaN
20071220,950,-4.6,-3,0.46,1.9,0,NaN
20071221,950,-5.2,-3.3,0.44,1.5,0,NaN
20071222,3370,-7.1,0.8,0.49,1.6,0,NaN
20071223,2246,-2,5.8,0.69,1,0,NaN
20071224,1382,-0.3,3.3,0.67,2.7,0,NaN
20071225,1987,1,4.8,0.71,3.9,0.1,NaN
20071226,950,2.9,4.9,0.8,2.5,0.7,NaN
20071227,778,2.6,7.3,0.84,4,0,NaN
20071228,2938,4.7,8.5,0.94,4.8,0,NaN
20071229,2419,3.4,8.7,0.87,5.4,2,NaN
20071230,1642,1.1,7.9,0.85,3.2,1.5,NaN
20071231,1469,-0.8,6,0.78,0.8,0,NaN
20080101,1123,-0.7,3.7,0.64,2.4,0,NaN
20080102,3715,-2.1,2,0.56,3.8,0,NaN
20080103,1814,-0.6,1.6,0.55,4.9,0.2,NaN
20080104,1469,1.1,5.6,0.67,4.8,0.8,NaN
20080105,1555,4.4,8.6,0.93,4.5,8.6,NaN
20080106,3629,1.7,7.2,0.78,2.4,0.2,NaN
20080107,2246,3.8,8.6,0.87,6.4,3.2,NaN
20080108,1469,3.3,7.4,0.87,4.3,0,NaN
20080109,1901,3.2,8.6,0.88,4.7,0.1,NaN
20080110,2506,4.2,10.4,0.95,5.4,0.4,NaN
20080111,950,8.7,11.8,1.13,4.5,7.2,NaN
20080112,1814,3.1,8.8,0.86,4.5,1.8,NaN
20080113,2246,2.6,8.9,0.79,4.2,0,NaN
20080114,3110,2.4,9.1,0.88,5.1,0.1,NaN
20080115,691,7.3,9.5,1.02,7.1,5.1,NaN
20080116,3110,3.3,9.5,0.94,4,0,NaN
20080117,1210,2.4,9.5,0.92,4.4,3.6,NaN
20080118,1037,7.5,12.4,1.13,5.9,8.4,NaN
20080119,346,9.5,12.9,1.303,5.9,20.1,NaN
20080120,346,10.3,12.5,1.324,7.2,3.8,NaN
20080121,864,8.5,10.9,1.164,7.5,13.4,NaN
20080122,4925,1,9.3,0.77,2.4,3.5,NaN
20080123,778,1.8,9.2,0.9,3.7,1.2,NaN
20080124,518,1.8,10,1.01,4.1,2.3,NaN
20080125,3802,2.1,9.2,0.86,5.2,0,NaN
20080126,4493,6.2,10.5,0.99,6,0,NaN
20080127,2592,7.1,9.6,1.03,4.6,0.4,NaN
20080128,1382,6.8,8.8,1,1.9,0,NaN
20080129,950,5,7.1,0.87,2.6,0,NaN
20080130,1555,0.7,6.2,0.79,2.5,3.4,NaN
20080131,1901,1,7.1,0.75,7.3,2.9,NaN
20080201,2765,2.7,6.9,0.76,7,0.5,NaN
20080202,5098,0.4,5.6,0.63,4.3,6.4,NaN
20080203,5530,0.6,5,0.56,4.7,0,NaN
20080204,1555,3,7.8,0.78,4.2,0.2,NaN
20080205,1123,3.4,11,0.99,5.8,5,NaN
20080206,2333,1.5,10.4,0.96,4.6,1.9,NaN
20080207,4493,0.4,8,0.74,1.9,0.1,NaN
20080208,7344,2.9,11.5,0.67,2.1,0,NaN
20080209,7603,2.3,12.7,0.6,2.2,0,NaN
20080210,7171,0.1,12.5,0.62,1.5,0,NaN
20080211,7517,-1.6,13.6,0.68,1.2,0,NaN
20080212,7776,-2.1,13.6,0.68,1.2,0,NaN
20080213,2419,-0.3,4.4,0.7,1.6,0,NaN
20080214,1642,0.4,5.1,0.75,1.9,0,NaN
20080215,8899,-1.3,5,0.51,3.4,0,NaN
20080216,9072,-3.2,3.6,0.41,2.7,0,NaN
20080217,9158,-4.4,7.6,0.44,1.4,0,NaN
20080218,6134,-5.8,5.1,0.58,0.7,0,NaN
20080219,4061,-2.7,5,0.67,1.4,0,NaN
20080220,6826,-1.6,7.2,0.68,1.6,0,NaN
20080221,2160,1.1,9.9,0.96,4.2,0.3,NaN
20080222,1901,8.7,11,1.15,6.9,0.4,NaN
20080223,4493,4.3,11.4,1.02,3.3,0,NaN
20080224,3110,8.2,10.8,1,2.8,2.5,NaN
20080225,9936,2.3,10.6,0.9,2.6,2.2,NaN
20080226,2074,6.2,12,1.11,5.4,5.9,NaN
20080227,9245,2.9,10.3,0.82,4,0,NaN
20080228,6826,1.5,11.2,0.84,1.5,0,NaN
20080229,5098,1.5,9.7,0.94,4.3,10.6,NaN
20080301,5530,7.5,10.8,0.88,8.6,4.6,NaN
20080302,8122,4.9,11.5,0.92,6.4,1.5,NaN
20080303,8899,1.5,8,0.71,4.8,0,NaN
20080304,9763,-2.6,7.9,0.65,2.6,1.4,NaN
20080305,11405,-2.9,7.6,0.57,2.4,0.3,NaN
20080306,2333,4.1,8.2,0.94,4.4,0.8,NaN
20080307,3283,3.3,10.2,0.94,2.9,1,NaN
20080308,9072,1,10.5,0.76,4,0.1,NaN
20080309,2246,5.8,9.2,0.98,4.7,3.6,NaN
20080310,3542,4.2,8.5,0.81,6.8,2.5,NaN
20080311,3542,4.8,11.1,0.95,6.9,8.6,NaN
20080312,2333,4,9.3,0.8,8.3,4.2,NaN
20080313,9763,5,10.3,0.85,5.5,0,NaN
20080314,12442,2.2,10.9,0.84,3.1,0.7,NaN
20080315,6998,1.8,13.1,0.99,2.3,0,NaN
20080316,2851,5.3,10.5,1.06,3.1,14.7,NaN
20080317,6221,-0.3,8.2,0.72,2.7,0,NaN
20080318,12442,-0.6,8.3,0.67,2.5,0.6,NaN
20080319,12442,0.3,8.2,0.71,2.8,1,NaN
20080320,6134,0.4,8.5,0.8,5,19.7,NaN
20080321,6653,0.5,6.7,0.75,3.8,11.2,NaN
20080322,7171,-2.7,6.3,0.64,2.6,0.5,NaN
20080323,14256,-4.8,6.1,0.54,1.7,0.3,NaN
20080324,11578,-1,5.1,0.63,2.7,2.1,NaN
20080325,11578,-2,5.1,0.63,4.2,3,NaN
20080326,6048,0.8,5.7,0.73,1.8,0.3,NaN
20080327,8726,-1.5,9.4,0.82,2.2,0.1,NaN
20080328,7949,3.6,10.6,0.9,4.5,4.7,NaN
20080329,12442,6.1,12.6,0.85,5.8,1,NaN
20080330,4061,8.6,12.7,0.97,3.9,7.7,NaN
20080331,12355,3,13.9,0.99,2,0.1,NaN
20080401,7171,4.7,12,1.05,3.6,3,NaN
20080402,7258,3.4,11.1,0.95,3.6,0.2,NaN
20080403,8035,5,10.2,0.95,3.1,0.5,NaN
20080404,4925,4.7,11.3,1.04,2,0,NaN
20080405,3024,1.3,8.8,0.96,1.9,13.5,NaN
20080406,15638,-1.7,8.2,0.59,2,5,NaN
20080407,17626,-3.5,9.6,0.59,1.6,0,NaN
20080408,18835,-0.6,10.5,0.6,1.7,0,NaN
20080409,16502,-1.8,12,0.56,1.1,0,NaN
20080410,16848,-2.7,13.4,0.64,1.5,0,NaN
20080411,15120,0.6,12.5,0.78,2,0,NaN
20080412,12096,4,13.2,0.87,3.4,0.4,NaN
20080413,15034,4.1,12.7,0.94,2.3,0.5,NaN
20080414,12182,2.1,11.4,0.85,1.8,0,NaN
20080415,12182,-2.1,10.5,0.72,1.7,0.5,NaN
20080416,11923,-3.7,9.6,0.62,1.5,0,NaN
20080417,19267,-2.9,11.6,0.59,2.7,0,NaN
20080418,18749,4.6,12.6,0.79,4.9,0,NaN
20080419,16330,5.2,13.3,0.9,4.6,0.5,NaN
20080420,19699,8.4,16.6,1,4.1,0,NaN
20080421,20995,6.5,18.1,0.91,4.2,0,NaN
20080422,19354,7.2,17.5,0.89,3.4,0,NaN
20080423,17107,10.1,19.9,1.09,2.8,5.7,NaN
20080424,13219,7.6,17.6,1.2,2.9,1,NaN
20080425,19354,6.2,15.8,1.1,2.8,0,NaN
20080426,18058,8.5,20,1.13,2.2,0,NaN
20080427,19267,10.6,22.2,1.02,3.4,0,NaN
20080428,5011,9.4,16.1,1.24,2.1,4.5,NaN
20080429,12442,8.8,15.3,1.11,3.4,4.2,NaN
20080430,12182,8,16.3,1.05,4.8,0.2,NaN
20080501,17107,6.5,14.5,1.05,3.2,0.2,NaN
20080502,18576,4.8,16.6,0.98,1.5,0,NaN
20080503,23760,1.9,19.6,0.84,2.1,0,NaN
20080504,25142,11.1,21.3,0.81,3.3,0,NaN
20080505,25920,6.2,21.6,0.83,3.1,0,NaN
20080506,26093,7.2,24,1.12,2.9,0,NaN
20080507,25056,10.6,24.4,1.07,2.4,0,NaN
20080508,25834,11.5,24.8,1.04,2.7,0,NaN
20080509,25574,12.5,26.3,1.06,3,0,NaN
20080510,25834,12.2,26.9,1.11,2.7,0,NaN
20080511,26438,9.9,26.2,0.97,3.1,0,NaN
20080512,25834,6.8,26.3,0.94,2.5,0,NaN
20080513,22896,10.6,26.9,1.17,2.4,0,NaN
20080514,16762,12.1,26.9,1.39,2.2,4,NaN
20080515,17021,13.4,23,1.56,1.4,1,NaN
20080516,6826,11.5,16.5,1.51,1.3,13.8,NaN
20080517,3456,9.4,12.3,1.27,1.8,7.4,NaN
20080518,22810,6.8,15.4,0.9,2,0,NaN
20080519,15293,1.2,14.9,0.78,1.5,0,NaN
20080520,27389,3.2,17.2,0.77,2.5,0,NaN
20080521,28339,7.2,19.5,0.89,2.5,0,NaN
20080522,20131,9.2,21,1.04,1.7,0,NaN
20080523,23933,12.1,22.6,0.95,2.6,0,NaN
20080524,25142,8.4,23.2,1.09,3.8,0,NaN
20080525,10886,12.2,18.6,1.48,3,2.6,NaN
20080526,8294,12.7,16.7,1.5,3.9,0.8,NaN
20080527,13738,12.6,22.6,1.758,3.7,0.2,NaN
20080528,13046,11.6,24.6,1.754,3.1,0.1,NaN
20080529,9158,11.2,22.1,1.787,1.3,5.8,NaN
20080530,12096,12.6,20.1,1.81,2,0.5,NaN
20080531,15725,11.6,19.6,1.616,1.7,17.9,NaN
20080601,15811,13.1,24.5,1.773,1.3,0,NaN
20080602,24019,14.2,30.2,1.849,2.2,17.8,NaN
20080603,16502,14.4,23.7,2.03,2.2,11.9,NaN
20080604,13824,12.5,21.4,1.837,1.3,0,NaN
20080605,10368,14.7,21.2,1.84,1.7,0.5,NaN
20080606,26784,14.2,25.8,1.46,2,0,NaN
20080607,18922,13.3,22.2,1.76,1.9,0,NaN
20080608,20218,13.4,25.9,1.89,1.3,13.5,NaN
20080609,26698,10.6,26.4,1.51,1.3,0,NaN
20080610,23414,10,23.5,1.54,2.1,0,NaN
20080611,14515,8.2,18.3,1.21,2.2,0,NaN
20080612,7517,7.3,14.3,1.26,1.3,5.1,NaN
20080613,13306,6.6,15.7,1.12,2,0.2,NaN
20080614,11837,7.7,15.7,1.25,1.1,6.3,NaN
20080615,18490,6.4,17.2,1.21,1.8,4.7,NaN
20080616,21773,3.9,17.4,1.01,1.3,0,NaN
20080617,27734,3.7,20.8,1,1.1,0,NaN
20080618,23674,9.1,20.7,1.24,2.4,0,NaN
20080619,12614,12,20.2,1.44,3.7,0.6,NaN
20080620,20045,11,20.3,1.28,3.4,0,NaN
20080621,22378,12.9,22.4,1.53,2.1,0,NaN
20080622,20822,13.7,27.1,1.85,4.4,4.6,NaN
20080623,24106,9.8,19.1,1.26,3.6,0,NaN
20080624,28253,5.9,22.1,1.07,2.3,0,NaN
20080625,17971,13.5,24,1.41,3.4,0,NaN
20080626,24538,11.9,21.9,1.39,3,0,NaN
20080627,22810,12.5,20.6,1.4,5,2.6,NaN
20080628,14602,14.1,22.7,1.77,4.2,2.7,NaN
20080629,19872,13.3,21.3,1.56,3.2,0,NaN
20080630,20563,11.5,22.8,1.49,1.6,0,NaN
20080701,28944,8.8,27.4,1.31,1.4,0,NaN
20080702,20909,16,31.5,2.02,2.5,6.8,NaN
20080703,6134,14.5,20.7,1.96,2,2.9,NaN
20080704,18230,10.1,21.5,1.46,2.2,0.1,NaN
20080705,20477,7.2,24,1.5,2.2,0,NaN
20080706,21427,14.2,21.8,1.5,3.4,0.2,NaN
20080707,11837,13.7,18.2,1.56,4.7,9.3,NaN
20080708,15120,11.4,19.4,1.53,5,7.4,NaN
20080709,13824,11,18.8,1.58,3.5,10.7,NaN
20080710,5530,14.7,20.1,1.91,3.1,19,NaN
20080711,12355,13.4,19.6,1.74,2.8,9.6,NaN
20080712,16762,10.3,18.4,1.43,3.9,2.9,NaN
20080713,19354,9.3,19.9,1.39,2,0,NaN
20080714,22982,8.7,22.2,1.4,2.4,0,NaN
20080715,9936,13.8,19.1,1.8,3.3,0,NaN
20080716,17453,12.9,20.1,1.55,2.9,0.3,NaN
20080717,6394,13,16.8,1.58,2.2,9.9,NaN
20080718,8467,12.9,19.4,1.69,3.2,2.1,NaN
20080719,10368,12.6,19.8,1.75,4.4,5.3,NaN
