DVS,KAVAIL,KDEMLV,KDEMRT,KDEMSO,KDEMST,KNI,KSOIL,KTRANSLOCATABLE,LAI,NAVAIL,NDEMLV,NDEMRT,NDEMSO,NDEMST,NNI,NPKI,NSOIL,NTRANSLOCATABLE,PAVAIL,PDEMLV,PDEMRT,PDEMSO,PDEMST,PNI,PSOIL,PTRANSLOCATABLE,RD,RKUPTAKE,RNFIX,RNUPTAKE,RPUPTAKE,SM,TAGP,TRA,TWLV,TWRT,TWSO,TWST,WWLOW,day
0.0,0.091,0.0,0.0,0.0,0.0,,10.0,0.0,0.14468999999999999,0.091,0.0,0.0,0.0,0.0,1.0,1.0,10.0,0.0,0.091,0.0,0.0,0.0,0.0,,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.46,105.0,0.004712536384491841,68.25,105.0,0.0,36.75,,1976-01-01
0.005571428571428571,0.43199999999999994,0.0679105237838371,0.05223886444910608,0.0,0.01828360255718664,,9.75,15.354807516219564,0.14657025735313017,0.43199999999999994,0.03395526189191855,0.02611943222455304,0.0,0.00914180127859332,0.991185963335097,0.9904832495286896,9.75,7.7837682409495,0.43199999999999994,0.0068671169754200845,0.005282397673399997,0.0,0.0018488391856899822,,9.75,1.4527289275270063,11.2,0.13843299079012983,0.0,0.06921649539506491,0.013998353834510063,0.46,106.36448283971711,0.004035501956201637,69.13691384581612,106.36448283971711,0.0,37.22756899390099,,1976-01-02
0.01138095238095238,0.6345670092098701,0.0,0.0,0.0,0.0,,9.5,15.488818031464396,0.14698188212411614,0.703783504604935,0.0,0.0,0.0,0.0,1.0020711625346659,1.0010992972967616,9.5,7.851124488694557,0.7590016461654898,0.0,0.0,0.0,0.0,,9.5,1.4664710585719871,12.399999999999999,0.0,0.0,0.0,0.0,0.46,106.71547296235988,0.01891602275118036,69.36505742553392,106.71547296235987,0.0,37.350415536825956,,1976-01-03
0.018476190476190476,0.97556700920987,0.042239789251610205,0.035990490486454974,0.0,0.013075151737109714,,9.25,15.470958950011205,0.1489224808235243,1.044783504604935,0.021103445656869724,0.017995245243227487,0.0,0.006537575868554857,0.9943720771859763,0.9924182360419845,9.25,7.843614906614215,1.1000016461654898,0.005382465833759675,0.0044702355553811746,0.0,0.0016085678218007715,,9.25,1.4654361086347023,13.599999999999998,0.09130543147517489,0.0,0.04563626676865207,0.011461269210941621,0.46,108.1354316086142,0.006082233031006925,70.27993117319568,108.1354316086142,0.0,37.85550043541853,,1976-01-04
0.02276190476190476,1.2252615777346951,0.13730226444772775,0.10783076137209502,0.0,0.03773903090043307,,9.0,15.534221910463595,0.15192128854922343,1.3401472378362829,0.06863781731324536,0.05391538068604751,0.0,0.018869515450216534,0.9824689769671313,0.9821484941332396,9.0,7.877455530809792,1.4295403769545483,0.013133020792200134,0.010312900041223427,0.0,0.00360938484594317,,9.0,1.4752726950006732,14.799999999999997,0.28287205672025584,0.0,0.1414227134495094,0.02705530567936673,0.46,110.36102454693051,0.0018177496932709884,71.72656658310127,110.3610245469305,0.0,38.634457963829234,,1976-01-05
0.028238095238095236,1.2833895210144393,0.0,0.0,0.0,0.0,,8.75,15.816327115272333,0.1518684268242239,1.5397245243867734,0.0,0.0,0.0,0.0,1.005128094190674,1.0041262309226178,8.75,8.018555750128805,1.7434850712751815,0.0,0.0,0.0,0.0,,8.75,1.5022835649019377,15.999999999999996,0.0,0.0,0.0,0.0,0.46,110.42195637219231,0.0026865521021939356,71.76594999782593,110.42195637219228,0.0,38.65600637436638,,1976-01-06
0.03561904761904762,1.6243895210144392,0.0,0.006474961193854156,0.0,0.0031084399461902557,,8.5,15.800396353455046,0.15359012795149507,1.8807245243867734,0.0,0.003237480596927078,0.0,0.0015542199730951278,0.9997011822380247,0.9975851370730586,8.5,8.011859265643267,2.0844850712751812,0.0015558062456215715,0.0018154503379069764,0.0,0.0007131284330506027,,8.5,1.5013601371687628,17.199999999999996,0.009583401140044412,0.0,0.004791700570022206,0.004084385016579151,0.46,111.69085279529834,0.003772121015544794,72.57639939438282,111.69085279529831,0.0,39.11445340091552,,1976-01-07
0.04323809523809524,1.9558061198743948,0.0,0.0,0.0,0.0,,8.25,15.804361825076715,0.15418524568850656,2.216932823816751,0.0,0.0,0.0,0.0,1.0028777034676126,1.0015136898090387,8.25,8.014287868876194,2.421400686258602,0.0,0.0,0.0,0.0,,8.25,1.5051190389672136,18.399999999999995,0.0,0.0,0.0,0.0,0.46,112.13672021739166,0.005122108368277242,72.86621321874347,112.13672021739161,0.0,39.27050699864818,,1976-01-08
0.049761904761904764,2.296806119874395,0.0,0.0,0.0,0.0,,8.0,15.803937904011532,0.15423163194922376,2.557932823816751,0.0,0.0,0.0,0.0,1.0086653613581131,1.0060449850893332,8.0,8.014109554946952,2.7624006862586024,0.0,0.0,0.0,0.0,,8.0,1.5050944782536195,19.599999999999994,0.0,0.0,0.0,0.0,0.46,112.17036682074121,0.003854983105260517,72.88807697666525,112.17036682074115,0.0,39.28228984407596,,1976-01-09
0.056952380952380956,2.637806119874395,0.0,0.0,0.0,0.0,,7.75,15.791121326827984,0.15563756092449754,2.898932823816751,0.0,0.0,0.0,0.0,1.0056706588532875,1.0018722539300637,7.75,8.00871845502054,3.1034006862586025,0.0,0.0,0.0,0.0,,7.75,1.504351930527906,20.799999999999994,0.0,0.0,0.0,0.0,0.46,113.18755548610207,0.005097621320674986,73.54924960914981,113.18755548610203,0.0,39.638305876952266,,1976-01-10
